timestamp;thumb_intensity;index_intensity;middle_intensity;ring_intensity;pinky_intensity;palm_intensity;thumb_pos;index_pos;middle_pos;ring_pos;pinky_pos;palm_pos;label_thumb;label_index;label_middle;label_ring;label_pinky
2025-10-26T09:01:14.782Z;7104;4756;2869;2781;2176;11076;916;1190;1744;2264;3082;2763;0;0;0;0;0
2025-10-26T09:01:14.832Z;7131;4779;2867;2787;2185;11133;917;1190;1744;2264;3082;2763;0;0;0;0;0
2025-10-26T09:01:14.882Z;7127;4786;2876;2789;2181;11182;917;1190;1744;2264;3082;2763;0;0;0;0;0
2025-10-26T09:01:14.932Z;7152;4796;2885;2791;2185;11259;917;1190;1744;2263;3082;2764;0;0;0;0;0
2025-10-26T09:01:14.982Z;7152;4809;2873;2777;2193;11294;917;1190;1744;2263;3081;2764;0;0;0;0;0
2025-10-26T09:01:15.032Z;7168;4824;2883;2770;2173;11257;917;1189;1744;2262;3082;2763;0;0;0;0;0
2025-10-26T09:01:15.082Z;7174;4830;2893;2757;2176;11256;915;1190;1744;2263;3082;2764;0;0;0;0;0
2025-10-26T09:01:15.132Z;7193;4841;2903;2744;2208;11226;915;1190;1744;2262;3081;2764;0;0;0;0;0
2025-10-26T09:01:15.182Z;7197;4845;2902;2751;2230;11259;915;1190;1744;2263;3081;2764;0;0;0;0;0
2025-10-26T09:01:15.232Z;7212;4862;2897;2751;2256;11246;915;1190;1744;2263;3080;2762;0;0;0;0;0
2025-10-26T09:01:15.282Z;7217;4867;2904;2750;2251;11300;915;1190;1744;2263;3080;2763;0;0;0;0;0
2025-10-26T09:01:15.332Z;7226;4888;2905;2753;2256;11342;915;1190;1745;2263;3080;2763;0;0;0;0;0
2025-10-26T09:01:15.382Z;7221;4897;2900;2751;2254;11370;915;1190;1745;2263;3080;2764;0;0;0;0;0
2025-10-26T09:01:15.432Z;7237;4930;2912;2753;2251;11430;915;1190;1745;2263;3080;2764;0;0;0;0;0
2025-10-26T09:01:15.483Z;7236;4954;2914;2748;2248;11514;915;1190;1745;2263;3080;2764;0;0;0;0;0
2025-10-26T09:01:15.532Z;7276;5042;2926;2764;2252;12258;915;1191;1745;2263;3080;2778;0;0;0;0;0
